product_name,description,category_name,unit_price,expiry_date,stock_quantity,date_added,commission_rate
Alaxan FR 200mg/325mg Capsule,Pain reliever and anti-inflammatory,branded,12.5,2027-12-31,100,2026-05-02,0.1
Biogesic 500mg Tablet,Paracetamol for fever and pain,branded,5,2027-12-31,500,2026-05-02,0.08
Calpol Suspension 120mg 60ml,Paracetamol syrup for children,branded,85,2027-12-31,60,2026-05-02,0.1
Fluimucil Syrup 100mg 100ml,Mucolytic for cough,branded,120,2027-12-31,50,2026-05-02,0.12
Micropil 400/35mg Tablet,Oral contraceptive pill,branded,150,2027-12-31,120,2026-05-02,0.15
Micropil Plus 400/35/75mg Tablet,Advanced oral contraceptive,branded,180,2027-12-31,120,2026-05-02,0.15
Myra E 400IU Capsule,Vitamin E supplement,branded,9.5,2027-12-31,100,2026-05-02,0.1
Nanz Corn Coffee 10g Sachet,Corn-based coffee beverage,branded,7,2027-12-31,120,2026-05-02,0.05
Propan Iron Capsule,Multivitamin with iron,branded,6.5,2027-12-31,500,2026-05-02,0.1
Rexidol Forte Tablet,Paracetamol + caffeine for pain relief,branded,6,2027-12-31,100,2026-05-02,0.1
Saridon Tablet,Pain reliever with caffeine,branded,6.5,2027-12-31,120,2026-05-02,0.1
Skelan 550mg Caplet,Muscle relaxant,branded,15,2027-12-31,100,2026-05-02,0.12
Tempra Forte Syrup 250mg 60ml,Paracetamol syrup forte,branded,95,2027-12-31,60,2026-05-02,0.1
Efficascent Extreme 100ml,Topical analgesic oil,branded,110,2027-12-31,72,2026-05-02,0.12
